"date","description","vendor","amount","currency","primary_tag","work_scope_level","hak_edis_policy","is_hak_edis_eligible","hak_edis_amount","CRM_STATUS","CRM_REVIEW_REQUIRED","HAK_EDIS_AUTO_INFER"
"","Tesisat işçilik ve malzeme | 29.01.2025 | 8.792,00 €","","29012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Kumlama astar malzeme | 29.01.2025 | 3.827,00 €","","29012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tersane elektrik forklift vs | 29.01.2025 | 1.536,00 €","","29012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 29.01.2025 | 10.000,00 € | Kaan | 29.01.2025 | 10.000,00 €","","29012025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 5.02.2025 | 25.388,00 € | Sac işçiliği | 5.02.2025 | 8.602,00 €","","5022025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat işçilik malzeme | 5.02.2025 | 7.661,00 €","","5022025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Kumlama astar | 5.02.2025 | 3.000,00 €","","5022025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Elektrik işleri | 5.02.2025 | 5.000,00 €","","5022025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tersane elektrik su vb | 5.02.2025 | 1.263,00 €","","5022025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 12.02.2025 | 23.037,00 € | Sac işçiliği | 12.02.2025 | 5.376,00 €","","12022025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat işçilik ve malzeme | 12.02.2025 | 12.903,00 €","","12022025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Kumlama işçilik | 12.02.2025 | 2.956,00 €","","12022025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tersane elektrik su vb | 12.02.2025 | 2.956,00 €","","12022025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 20.02.2025 | 30.133,00 € | Sac işçiliği | 20.02.2025 | 6.664,00 €","","20022025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat ve malzeme | 20.02.2025 | 12.800,00 €","","20022025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gaz kaynak teli vs malzeme | 20.02.2025 | 3.680,00 €","","20022025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Asansör | 20.02.2025 | 2.666,00 €","","20022025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman | 24.02.2025 | 44.800,00 € | Motorlar | 24.02.2025 | € 44.800,00","","24022025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Kumlama astar işçilik | 20.02.2025 | 2.266,00 €","","20022025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 27.02.2025 | 29.360,00 € | Sac işçiliği | 27.02.2025 | 6.656,00 €","","27022025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat işçilik malzeme | 27.02.2025 | 12.800,00 €","","27022025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tersane elektrik su vb | 27.02.2025 | 1.466,00 €","","27022025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Asansör | 27.02.2025 | 5.333,00 €","","27022025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Kumlama astar işçilik | 27.02.2025 | 2.133,00 €","","27022025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 6.03.2025 | 30.102,00 € | Sac işçiliği | 6.03.2025 | 9.473,00 €","","6032025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat ve malzeme | 6.03.2025 | 12.631,00 €","","6032025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tersane elektrik vs | 6.03.2025 | 2.131,00 €","","6032025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Kaynak malzemeleri | 6.03.2025 | 776,00 €","","6032025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Kumlama astar | 6.03.2025 | 5.089,00 €","","6032025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman | 10.03.2025 | 40.000,00 € | Motorlar | 10.03.2025 | € 40.000,00","","10032025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 10.03.2025 | 26.100,00 € | Sac işçilik ve malz | 10.03.2025 | 10.750,00 €","","10032025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat işçilik | 10.03.2025 | 2.750,00 €","","10032025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tersane elektrik forklift vs | 10.03.2025 | 1.275,00 €","","10032025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Kumlama astar | 10.03.2025 | 2.750,00 €","","10032025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Motorlar | 10.03.2025 | € 8.500,00","","10032025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 20.03.2025 | 58.536,00 € | Sac işçilik ve malz | 20.03.2025 | 10.731,00 €","","20032025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat işçilik malzeme | 20.03.2025 | 2.792,00 €","","20032025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tersane vinç elektr | 20.03.2025 | 756,00 €","","20032025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Kumlama astar işçilik | 20.03.2025 | 2.682,00 €","","20032025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Alüminyum ilk parti | 20.03.2025 | 41.575,00 €","","20032025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 28.03.2025 | 16.743,00 € | Sac işçilik malzeme | 28.03.2025 | 7.804,00 €","","28032025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Asansör için sac | 28.03.2025 | 3.109,00 €","","28032025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat işçilik malzeme | 28.03.2025 | 2.317,00 €","","28032025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Astar boya işçilik | 28.03.2025 | 2.682,00 €","","28032025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tersane elektrik forklift vs | 28.03.2025 | 829,00 €","","28032025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 2.04.2025 | 7.756,00 € | Sac işçiliği | 2.04.2025 | 4.512,00 €","","2042025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat işçilik | 2.04.2025 | 1.707,00 €","","2042025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Kumlama astar | 2.04.2025 | 1.536,00 €","","2042025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman | 10.04.2025 | 40.000,00 € | Motor virman | 10.04.2025 | € 40.000,00","","10042025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman | 10.04.2025 | 8.320,00 € | Alüminyum ekstra | 10.04.2025 | 8.320,00 €","","10042025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 11.02.2025 | 13.170,00 € | Sac işçilikleri  | 11.04.2025 | 4.536,00 €","","11022025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Merdiven için ekstra sac | 11.04.2025 | 804,00 €","","11042025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Kaynak malz gaz | 11.04.2025 | 1.741,00 €","","11042025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat işçilik malz | 11.04.2025 | 2.804,00 €","","11042025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tersane elektrik vs | 11.04.2025 | 1.026,00 €","","11042025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Astar işçilik malz | 11.04.2025 | 2.195,00 €","","11042025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 18.04.2025 | 20.988,00 € | Sac ve alüminyum işçilik | 18.04.2025 | 11.232,00 €","","18042025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Yalıtım için başlangıç | 18.04.2025 | 4.883,00 €","","18042025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat işçilik | 18.04.2025 | 1.976,00 €","","18042025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tersane elektrik vinç | 18.04.2025 | 802,00 €","","18042025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Astar işçilik | 18.04.2025 | 2.093,00 €","","18042025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 18.04.2025 | 22.355,00 € | Motor virman | 18.04.2025 | € 22.350,00","","18042025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 24.04.2025 | 15.007,00 € | Alüm ve sac işçilikleri | 24.04.2025 | 10.930,00 €","","24042025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman | 25.04.2025 | 5.767,00 € | Tesisat malzeme | 24.04.2025 | 2.023,00 €","","25042025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman | 25.04.2025 | 2.023,00 € | Parampet sac kesim nakl | 24.04.2025 | 2.148,00 €","","25042025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gaz ödemesi | 24.04.2025 | 1.102,00 €","","24042025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Kaynak teli  | 24.04.2025 | 5.767,00 €","","24042025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tersane elektr vinc | 24.04.2025 | 779,00 €","","24042025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 30.04.2025 | 37.140,00 € | Motor virman | 2.05.2025 | € 37.140,00","","30042025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 30.04.2025 | 23.330,00 € | Sac ve alüminyum işçilik | 2.05.2025 | 11.027,00 €","","30042025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Triclad ve alüm için malzeme | 2.05.2025 | 6.655,00 €","","2052025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Yem as par ek sac | 2.05.2025 | 1.447,00 €","","2052025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat işçilik | 2.05.2025 | 2.511,00 €","","2052025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tersane elektr vinc | 2.05.2025 | 1.696,00 €","","2052025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman | 2.05.2025 | 10.000,00 € | Baran akalın müh için | 2.05.2025 | 10.000,00 €","","2052025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 2.05.2025 | 27.830,00 € | Motor virman | 2.05.2025 | € 27.830,00","","2052025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman | 5.05.2025 | 35.815,00 € | Motor virman | 5.05.2025 | € 35.000,00","","5052025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 8.05.2025 | 17.906,00 € | Sac ve alüminyum işçilik | 8.05.2025 | 11.052,00 €","","8052025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Kaynak malzemeleri | 8.05.2025 | 2.594,00 €","","8052025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat işçilik | 8.05.2025 | 2.517,00 €","","8052025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Motor kapakları için malz | 8.05.2025 | 1.023,00 €","","8052025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tersane elektrik su vb | 8.05.2025 | 718,00 €","","8052025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 15.05.2025 | 18.124,00 € | Sac ve alüminyum işçilik | 15.05.2025 | 11.816,00 €","","15052025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat işçilik | 15.05.2025 | 2.517,00 €","","15052025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Ek tesisat malz | 15.05.2025 | 2.231,00 €","","15052025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tersane elektrik su vb | 15.05.2025 | 1.542,00 €","","15052025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 23.05.2025 | 14.710,00 € | Alüm ve sac işçilikleri | 23.05.2025 | 11.029,00 €","","23052025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat işçilik | 23.05.2025 | 2.517,00 €","","23052025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tersane elektrik su vb | 23.05.2025 | 1.091,00 €","","23052025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 26.05.2025 | 76.000,00 € | Alüminyum 2. Parti | 26.05.2025 | 75.982,00 €","","26052025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 26.05.2025 | 10.000,00 € | Kaan | 26.05.2025 | 10.000,00 €","","26052025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 26.05.2025 | 4.856,00 € | Alüm nakliye ve vinç | 26.05.2025 | 772,00 €","","26052025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Alüminyum tel torc vs | 26.05.2025 | 2.697,00 €","","26052025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Sac büküm ve nakliye | 26.05.2025 | 545,00 €","","26052025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gaz ödemesi | 26.05.2025 | 840,00 €","","26052025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 30.05.2025 | 15.310,00 € | Alüm ve sac işçilikleri | 30.05.2025 | 11.886,00 €","","30052025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat işçilik | 30.05.2025 | 2.500,00 €","","30052025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tersane elektr vinc | 30.05.2025 | 931,00 €","","30052025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 2.06.2025 | 13.000,00 € | Motor nakliye gümrük | 2.06.2025 | € 12.650,00","","2062025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 5.06.2025 | 9.191,00 € | Alüminyum işçilik | 5.06.2025 | 7.101,00 €","","5062025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat işçilik | 5.06.2025 | 1.483,00 €","","5062025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tersane gider | 5.06.2025 | 593,00 €","","5062025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 20.06.2025 | 21.560,00 € | Alüminyum işçilik | 21.06.2025 | 14.791,00 €","","20062025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat işçilik | 21.06.2025 | 2.417,00 €","","21062025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Manhole kapakları 17 ad | 21.06.2025 | 2.428,00 €","","21062025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Motor montaj vinç branda | 21.06.2025 | 1.920,00 €","","21062025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman 3 ad | 24.06.2025 | 5.391,00 € | Kaynak grubu | 24.06.2025 | 1.913,00 €","","24062025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gaz ödemesi | 24.06.2025 | 782,00 €","","24062025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Malzemeci | 24.06.2025 | 2.695,00 €","","24062025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 28.06.2025 | 10.217,00 € | Alüminyum işçilik | 28.06.2025 | 10.217,00 €","","28062025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman | 35.000,00 € | Motor virman | € 35.000,00","","35000","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Alüminyum işçilik | 4.07.2025 | 9.304,00 €","","4072025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat işçilik | 4.07.2025 | 2.391,00 €","","4072025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 10.07.2025 | 28.130,00 € | Tersane gider | 11.07.2025 | 1.000,00 €","","10072025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Ek sac büküm | 11.07.2025 | 1.663,00 €","","11072025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Astar int | 11.07.2025 | 1.113,00 €","","11072025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Alüminyum işçilik | 11.07.2025 | 9.304,00 €","","11072025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat işçilik | 11.07.2025 | 2.391,00 €","","11072025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tersane gider | 11.07.2025 | 489,00 €","","11072025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Alüminyum nakliye vinç | 11.07.2025 | 713,00 €","","11072025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 14.07.2025 | 5.591,00 € | Alümiyum işçilik | 16.07.2025 | 7.956,00 €","","14072025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat işçilik | 16.07.2025 | 1.516,00 €","","16072025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tersane elektrik su vb | 16.07.2025 | 375,00 €","","16072025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Nakliye vinç alüminyum | 16.07.2025 | 905,00 €","","16072025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman | 17.07.2025 | 10.000,00 € | Baran akalın | 17.07.2025 | 10.000,00 €","","17072025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 17.07.2025 | 21.893,00 € | Herçelik kesim triclad | 17.07.2025 | 21.248,00 €","","17072025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 24.07.2025 | 21.330,00 € | Etkin gürel avans | 24.07.2025 | 7.500,00 €","","24072025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 24.07.2025 | 19.569,00 € | Kaan | 24.07.2025 | 13.830,00 €","","24072025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Alüminyum işçilik | 25.07.2025 | 10.043,00 €","","25072025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat işçilik | 25.07.2025 | 967,00 €","","25072025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tersane elektrik su vb | 25.07.2025 | 806,00 €","","25072025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","İmalat malzemesi tüp vs | 25.07.2025 | 3.081,00 €","","25072025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman | 21.300,00 € | Motor son | € 21.300,00","","21300","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 7.08.2025 | 28.893,00 € | Alüminyum işçilik 2 hafta | 7.08.2025 | 20.127,00 €","","7082025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat işçilik 2 hafta | 7.08.2025 | 1.702,00 €","","7082025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tersane elektr vinc | 1.553,00 €","","1553","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Alüminyum tel torc gaz | 7.08.2025 | 5.497,00 €","","7082025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman | 35.000,00 € | Webasto | 35.000,00 €","","35000","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 21.08.2025 | 27.810,00 € | Alüminyum işçilik 2 hafta | 21.08.2025 | 21.557,00 €","","21082025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tersane 2 hafta | 21.08.2025 | 1.547,00 €","","21082025","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
