"date","description","vendor","amount","currency","primary_tag","work_scope_level","hak_edis_policy","is_hak_edis_eligible","hak_edis_amount","CRM_STATUS","CRM_REVIEW_REQUIRED","HAK_EDIS_AUTO_INFER"
"","3. Görder işi | 8.143,00 €","","8143","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Çöp nakliye 2 kamyon | 444,00 €","","444","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Çöp işçilik 2 kişi 2 gün | 221,00 €","","221","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Güverte kaplama sökümü | 324,00 €","","324","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 50.000,00 € | Kapı avans ödeme | 27.08.2024 | 49.500,00 €","","50000","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman | 28.08.2024 | 5.333,00 €","","28082024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 28.08.2024","","28082024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 4.09.2024 | 5.000,00 €","","4092024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 11.09.2024 | 7.258,00 € | Güverte için saclar | 7.165,00 €","","11092024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","4. Kalem güverte | 21.215,00 €","","21215","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman | 20.09.2024 | 6.865,00 €","","20092024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden herçelik | 23.09.2024 | 25.790,00 € | Herçelik sac alımı  | 23.09.2024 | 25.790,00 €","","23092024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman | 24.09.2024 | 7.466,00 €","","24092024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
